Temporary In-house Box Reference,Existing box label(s),Accessed by,Box contents summary,Covering Dates,Box :
15,Proofs and Manuscripts 1990,TB AW (19.04.13); ,Packets labelled:1990 Neil Astley Dear Prime Minister; 1990 Connie Bensley Central Reservations; 1990 Dear Prime Minister Astley Planning; Central Reservations Bensley Typescripts 1990; Snow Leopard Penultimate Text Forsstrum; Astley Dear Prime Minister 1990; 1990 Ken Smith Heart/Border; 1990 Ciaran Carson Belfast Confetti; 1990 New Women Poets; 1990 Snow Leopard Forsstrum (McDuff); 1990 Richard Murphy Mirror Wall Cover Setting and A/Work; Coastguards House Reed Montaie First Versions before revisions - seen by Hugh Shankland 1990; Murphy Mirror Wal Bloodaxe proof and productions 1990; Dear Prime Minister Astley 1990; Carol Rumens New Women Poets 1990; Coastguards House Reed/Montale Proofs 1990;                                                 ,1990,Neil Astley Dear Prime Minister :Connie Bensley Central Reservations :Dear Prime Minister Astley Planning :Central Reservations Bensley Typescripts :Snow Leopard Penultimate Text Forsstrum :Astley Dear Prime Minister :Ken Smith Heart/Border :Ciaran Carson Belfast Confetti :New Women :Snow Leopard Forsstrum (McDuff) :Richard Murphy Mirror Wall Cover Setting A/Work :House Reed Montaie First Versions Hugh Shankland :Murphy Mirror Wal Bloodaxe :Dear Prime Minister Astley :Carol Rumens New Women :House ::
16,Proofs and Manuscripts Happy Kettle 1995 ,TB AW (19.04.13); ,Packets labelled: Poetry my Arse (1) '95; Poetry my Arse (2) '95; Current Press Releases Copies filed here Originals in photocopy master box 95; Dave Smith Farers 1995; 95 Bartlett Two  Women Dancing Proofs; Selected Poems C. K. Williams; 1995 Berry Hot Earth Cold Earth Proofs and MSS; 1995 Simpson Catching up with History Proofs and TS; Bill Naughton Neither Use Nor Ornament 1995 ,1995,Poetry Arse (1) '95 :Poetry Arse (2) '95 ::Dave Smith Farers :Bartlett Two Women Dancing Proofs :Selected Poems C. K. Williams :Berry Hot Earth Cold Earth Proofs MSS :Simpson Catching History Proofs TS :Bill Naughton Neither Use Nor Ornament :
17,Proofs and Manuscripts 1992,,Packets labelled: 1992 France: Red Proofs and MSS; Gosta Agren A Valley in the Midst of Violence; 1992 Benjamin Zephaniah City Psalms; 1992 Xanadu Proofs and MSS; English arthquake Salzman Proofs 1992; 1992 Proofs Rebel without Applause; 1992 Balmer Sappho Proofs; 1992 Redgrove Proto Cyclopean Mistress; By Hand (Wordworks) Tyne Tees 1992; 1992 Wordworks; Selected Poems Jospeh Proofs 1992; 1992 Brathwaite Middle Passage Proofs; Maxwell Out of the Rain 1992; Wearne Out Here 1992,1992,Red Proofs MSS :Gosta Agren A Valley Midst Violence :Benjamin Zephaniah City Psalms :Xanadu Proofs MSS :Salzman Proofs :Proofs Rebel Applause :Balmer Sappho Proofs :Redgrove Proto Cyclopean Mistress :Hand (Wordworks) Tyne Tees ::Selected Poems Jospeh Proofs :Brathwaite Middle Passage Proofs :Maxwell Out Rain :Wearne Out Here :
20,Proofs and Manuscripts !!! 1992,,Harrison Gorgon Proofs and Drafts 1992; 1992 Kennelly Breathing Spaces Proofs; Night Pleasures 1992 Dave Smith; Conn-Boating Party First Seven Versions 1992; 1992 Attila Scornflakes Proofs; McCuckan Typescripts Marconi's Cottage 1992; Stenburg Proofs Wings of Hope and Daring 1992; Ratvshinskyz Shadow Proofs 1992; Selected Poems 1992 Lorca Proofs; (Unlabelled package),1992,Harrison Gorgon Proofs Drafts :Breathing Proofs :Dave Smith :Party First Seven Versions :Attila Scornflakes Proofs :McCuckan Typescripts Marconi's Cottage :Stenburg Proofs Wings Hope Daring :Ratvshinskyz Shadow Proofs :Selected Poems Lorca Proofs ::
22,Proofs and Manuscripts! Do not open if you have envelope fear 1996,,Packets labelled: 1996 Mandelstam Vernonezh Notebooks; Roy Fisher the Dow Low Drop 1996; Szirtes/G”m”ri Colonnade of Teeth 1996; Tom Pow Red Letter Day MSS and Proofs 1996,1996,Mandelstam Vernonezh Notebooks :Roy Fisher Dow Low Drop :Colonnade Teeth :Tom Pow Red Letter Day MSS Proofs :
23,Proofs and Manuscripts 1991,,Packets labelled: Soft Target Proofs Simon Rae 1991; 1991 Garrett Rule of 3 Proofs etc.; August 1991 and November 1989 Typescripts; Piotr Sommers 1989; Piotr Sommer Things to Translate and Some Duhig Proofs 1991; Content and Tasteful by Julie O'Callaghan; Elliot French Love Poems 1991; What's What Julie O' Callaghan 1991; John Hughes Chill Wind Proofs and Various MSS 1991; 1991 Noel Connor Confounded Language Proofs; The Tutenkhamen Variations 1991; Constantine Selected Poems 1991; 1991 Dunmore Short Days; Long Nights Proofs; Scammell 1991 New Lake Poets; 1991 Mandelstam Proofs; Noel Connor 1991 Confounded Proofs,1989-1991,Soft Target Proofs Simon Rae :Garrett Rule Proofs etc. :August November Typescripts :Piotr Sommers :Piotr Sommer Things Translate Some Duhig Proofs :Content Tasteful Julie O'Callaghan :Elliot French Love Poems :Julie O' Callaghan :John Hughes Chill Wind Proofs Various MSS :Noel Connor Confounded Language Proofs :Tutenkhamen Variations :Constantine Selected Poems :Dunmore Short Days :Proofs :Scammell New Lake :Mandelstam Proofs :Noel Connor Confounded Proofs :
24,Proofs and Manuscripts 1993,AW (22.04.13); ,Packets labelled: William Martin Marra Familia 1993; 1993 Cleary The Irish Card1993; Turnspit Dog Proofs etc. 1993 Normal Nude Proofs; 1993 Randall Proofs White Eyes Dark Ages; Sunset Grill Rouse Proofs 1993; 1993 Blood of the Walsungs Orban Proofs and MSS; 1993 Rumens Thinking of Skins Proofs and MSS; 1993 Stephen Knight Flowering Limbs Proofs and TS; 1993 Stephen Smith Fab Relatives Proofs and Typescripts; 1993 Austin On the Border Proofs; Typescripts and First Version; 1993 Shvarts Paradise Proofs,1993,William Martin Marra Familia :Cleary The Irish Card1993 :Dog Proofs etc. Normal Nude Proofs :Randall Proofs White Eyes Dark Ages :Sunset Grill Rouse Proofs :Blood Walsungs Orban Proofs MSS :Thinking Skins Proofs MSS :Stephen Knight Flowering Limbs Proofs TS :Stephen Smith Fab Relatives Proofs Typescripts :Austin On Border Proofs :First Version :Paradise Proofs :
25,Proofs and Manuscripts 1994,,Packets labelled: 1994 Sansom Writing Poems; 1994 Enzensberger Selected Poems Proofs; Complete Poems Karin Boye Proofs 1994; Selected Writings Tuominen MSS and Proofs 1994; Dark Fathers into Light Pine 1994; 1994 Poetry Virgins Sauce MSS and Proof; '94 Gillilan All -Steel Traveller Proofs; 1994 W. N. Herbert Forked Tongue MSS,1994,Sansom Writing Poems :Enzensberger Selected Poems Proofs :Complete Poems Karin Boye Proofs :Selected Writings Tuominen MSS Proofs :Dark Fathers Light Pine :Poetry Virgins Sauce MSS Proof :Gillilan All -Steel Traveller Proofs :W. N. Herbert Forked Tongue MSS :
26,Proofs and Manuscripts! 1989,TB AW (19.04.13); ,Packets labelled: Markham proof material 1989; Marion Lomax; Marion Lomax 1989; Stainer proofs 1989; Charlton 1989; [George Charlton] 1989; Charlton Nighshift Workers annotated by Douglas Dunn (bound); Peter McDonald author proofs 1989; Anna Akhmatova Selected Poems 1989; E. A. Markham; Hinterland; 1989; Armitage Zoom author proofs 1989; Sylvia Kantaris Dirty Washing typescript 1989; [Akhmatova] 1989; E.A. Markham Hinterland copy of typescript 1989; Bunting Uncollected Poems? 1989; Marion Lomax Peepshow Girl 1989; Step by Step 1989; McDuff Ice Around Our Lips proofs 1989; Charlton typescript 1989,1989,Markham :Lomax :Lomax :Stainer :Charlton ::Charlton Nighshift Workers Douglas Dunn (bound) :Peter McDonald :Anna Akhmatova Selected Poems :E. A. Markham :Hinterland ::Zoom :Sylvia Kantaris Dirty Washing ::E.A. Markham Hinterland ::Lomax Peepshow Girl :Step Step :Ice Around Our Lips :Charlton :
27,Proofs and Manuscripts The New Posh and Becks 1994,,Packets labelled: Greig Western Swing 1994; 1994 Razumovsky Marina Tsvetayeva (2); Unlabelled Packet; 1994  Razumovsky Marina Tsvetayeva (1); Unlabelled Packet; 1994 Tony Harrison Permanently Bard; 1994 Berkeley Proofs Facts About Water; ,1994,Greig Western Swing :Razumovsky Marina Tsvetayeva (2) :Unlabelled Packet :Razumovsky Marina Tsvetayeva (1) :Unlabelled Packet :Tony Harrison Permanently Bard :Berkeley Proofs Facts About Water ::
