Temporary In-house Box Reference,Existing box label(s),Accessed by,Box contents summary,Covering Dates,Box :
40,Proofs & Manuscripts! If you poke them they bite. '78 - '85,AW (20.02.13); AW (21.12.13) AW TB (21.12.13),Packets labelled: Talitha Cumi David Constantine & Rodney Pybus 1983; Ukelele Music 1985; Selected Poems artwork Oldham 1980; Dumore mss and galleys 1983; Stephen Dunstan Tarot Poems 1980; Paul Hyland Domingus; Adcock Virgin + Nightingale 1983; Flynn Strange Routine 1980; Maxwell Out of the Rain proofs 1992; Pete Didsbury Butchers of Hull 1982; Constantine Watching for Dolphins Typescript 1983; Poetry of Basil Bunting [1991],1980 - 1992,Talitha Cumi David Constantine Rodney Pybus :Ukelele Music :Selected Poems Oldham :Dumore :Stephen Dunstan Tarot Poems :Paul Hyland Domingus :Adcock Virgin + Nightingale :Flynn Strange Routine :Maxwell Out Rain :Pete Didsbury Butchers Hull :Constantine Watching Typescript :Poetry Basil Bunting [1991] :
41,Leo DeCaprio and Kate Winslet in_Proofs and Manuscripts! Nothing in this world could tear them apart,,Packets labelled: 1998 Duhig Nominies Proofs and MSS; Sean O'Brien Roy Fisher Chap (31 Aug 95) Deregulated Muse 98; 1998 O'Brien Deregulated Muse Proofs; 1998 O'Brien Deregulated Moose,,Duhig Nominies Proofs MSS :Roy Fisher Chap (31 Aug Deregulated Muse :Deregulated Muse Proofs :Deregulated Moose :
42,Proofs and Manuscripts! (Hear ye; hear ye!),AW (22.04.13); ,Packets labelled: Roy Fisher The Dow Low Drop 1996; Hyland 1996 Getting into Poetry Proofs; 1996 Objectivists Rights; McAllister Objectivists Proofs 1996; 1996 Marion Lomax Raiding the Borders MSS and Proofs; 1996 Holderlin Proofs Selected Poems; 1996 Dooley Kissing and Bone Proofs; 1996 Knight Dream City Cinema Proofs; Muse July 23 1996; 1996 Velocities by Stephen Dobyns; French The New French Poetry Kelley/ Khalfa 1996; 1996 Balmer Classical Women Poets,,Roy Fisher The Dow Low Drop :Hyland Getting Poetry Proofs ::Proofs :Marion Lomax Raiding Borders MSS Proofs :Holderlin Proofs Selected Poems :Dooley Kissing Bone Proofs :Knight Dream City Cinema Proofs :Muse July :Stephen Dobyns :New French Poetry Kelley/ Khalfa :Balmer Classical Women :
44,Proofs & Manuscipts! 1978 - 85,AW (20.02.13); AW (21.12.13); TB (21.12.13),Packets labelled: Edith S”dergran Complete Poems 1984; Frighteners proofs 1985; The Poet Reclining Ken Smith 1982; Tony Harrison v. 1985 (2); Constantine Brightness to Cast Shadows 1980;  R.S. Thomas Selected Poems 1986; Complete Poems Crane (galley settings) 1984; Burned Book Rubbing [?] 1981; photograph to Neil Astley from Noel Connor 29/05/81; Sodergran Selection 1984; Simpson Making Arrangements 1982; Women Poets General 1985; Women Poets Couzyn Stuff 1985; Work Into Light Jeni Couzyn 1985; Flynn A Strange Routine 1980; Poet Reclining (2) Ken Smith 1982; Constanti [David Constantine Watching for Dolphins; 1983]; Reject Setting Abel Baker; US Martial Rumens [?]; Cassidy Night Cries ms & galleys [1982],1980 - 1986,Edith S”dergran Complete Poems ::Poet Reclining Ken Smith :Tony Harrison v. (2) :Constantine Brightness Cast Shadows :R.S. Thomas Selected Poems :Complete Poems Crane (galley settings) :Burned Book Rubbing [?] :Neil Astley Noel Connor :Sodergran Selection :Simpson Making Arrangements :General :Couzyn Stuff :Work Into Light Jeni Couzyn :Flynn Strange Routine :Poet Reclining (2) Ken Smith :Constanti [David Constantine Watching ::Reject Setting Abel Baker :Martial Rumens [?] :Cassidy Night :
47,Proofs and Manuscripts!  Walt Disney Productions ,TB AW (19.04.13); ,Packets labelled: Painted Stars; Part 2 The Horn Dice-Box; Pierre Reverdy Poemes en Prose 1915; Robert Desnos Les T‚n_bres; Pierre Reverdy Les Jockeys Camoufles (1918); Robert Desnos A La Mysterieuse (1926); Benjamin P‚ret; Max Jacob Le Cornet A Des; Translations by Martin Bell; Geoff Hettersley Don't Worry 1994 MSS and Proofs; 1994 Not Fade Away by Adrian Henri MS and Proof; Greig Heretical Buddha (Western Swing) 1994; Andrew Greig Western Swing 1994; 1994 Tom Pickard Tiepin Eros and earlier MSS Proofs and MSS; Typescript Copy Choosing to be a Swan Connie Bensley 1994; 1994 Andrew Greig Western Swing Author Proofs; 1994 Douglas Oliver Penniless Politics; Proofs 1994 Helen Dunmore Recovering a Body; 1994 Chris Greenhalgh Stealing the Mona Lisa MSS and Proofs ,,Painted Stars :Horn Dice-Box :Pierre Reverdy Poemes Prose :Robert Desnos Les T‚n_bres :Pierre Reverdy Les Jockeys Camoufles (1918) :Robert Desnos A La Mysterieuse (1926) :Benjamin P‚ret :Max Jacob Le Cornet A Des :Martin Bell :Hettersley Don't Worry MSS Proofs :Fade Away Adrian Henri MS Proof :Greig Heretical Buddha (Western Swing) :Andrew Greig Western Swing :Tom Pickard Tiepin Eros MSS Proofs MSS :Typescript Copy Choosing Swan Connie Bensley :Andrew Greig Western Swing Author Proofs :Douglas Oliver Penniless Politics :Helen Dunmore Recovering Body :Chris Greenhalgh Stealing Mona Lisa MSS Proofs :
49,Finance Management,,1. Production Programmes April 1990 - 1995; 2. Cash flows 1986 - 1989; 3. Production Estimates 4. Sales by Title '85 - '88 5. Spreadsheets '89 - '90 6. Sales Projections '86-'88; 7. Monthly Sales '86-'81; Budget Plans '89 - '90,1985-1995,Production Programmes April :Cash :Production Estimates 4. Sales Title '85 :Monthly Sales '86-'81 ::
50,Marketing and Publicity Archives,AW (22.04.13); ,Loose sheets; Neil Astley; Blackwell Bookshops; Blackwell Retail Group Directory; Waterstones; Book Trust/ National Book League; Unlabelled folder; Barbie Keene Zimbabwe; Dsitributors IPD Welsh Books Centre SBD James Taylor Whitecoulls; Bernard Thorpe; Reps; Greg Carr; Debbie Jones; Mike Wilson; Clive Malins; David Grant; Dufour; Gregory Carr Ireland; Unlabelled folder; Dillions The Bookstore; Unlabelled folder; Sherratt and Hughes; Loose sheets; Office of Arts and Libraries; Canada; Europe; Dutch Marketing Neil Astley; Edinburgh Book Fair; Pong! The New Generation May 1994 Poetry Promotion; Book Data for Publishers; Awards History General Documents; Manfred Nippel Continent Books Holland; USA; Brickrow New Zealand; Sweden; Pakistan; Japan; Australian B/Sellers ASSN; China,,Loose :Neil Astley :Blackwell Bookshops :Blackwell Retail Group Directory ::Book Trust/ National Book League :Unlabelled :Barbie Keene Zimbabwe :Welsh Books Centre SBD James Taylor Whitecoulls :Bernard Thorpe ::Greg Carr :Debbie Jones :Mike Wilson ::David Grant ::Gregory Carr Ireland :Unlabelled :Bookstore :Unlabelled :Sherratt Hughes :Loose :Office :Canada :Europe :Neil Astley :Edinburgh Book Fair :New Generation May Poetry Promotion :Book Data Publishers :History General Documents :Manfred Nippel Continent Books Holland :USA :Brickrow New Zealand :Sweden :Pakistan :Japan :ASSN :China :
51,Proofs & Manuscripts 1986,AW (22.04.13); ,Packets labelled: Jimmy Forsyth Scotswood Road 1986; 1986 Ghosts at 4am Jill Maughan Editorial Corres; 1986 Gillilan That Winter; 1986 Lesser Vehicle John Drew; 1986 Douglas Houston With the Offal Eaters; Douglas Houston With the Offal Eaters; Houston P.S. Lines on a Voice...recently published in Censorship: Register of Welsh Union of Writers (Not sure of title) (Cardiff; 1986) Acknowledgements?; 1986 Terra; James Simmons Texts Poems 1986; Irina Ratushinskaya No; I'm Not Afraid 1986; The Sea Skater Dunmore typesetting and typescripts and proofs 1986; Longley typescripts Poetry Wars 1986; Edna Longley Poetry in the Wars 1986,1986,Jimmy Forsyth Scotswood Road :Jill Maughan Editorial Corres :Gillilan That Winter :Lesser Vehicle John Drew :Douglas Houston With Offal Eaters :Douglas Houston With Offal Eaters :Houston P.S. Lines Censorship: Register Welsh Union title) (Cardiff ::Terra :James Simmons Texts Poems :Irina Ratushinskaya No :Afraid :Sea Skater Dunmore :Longley Poetry Wars :Edna Longley Poetry Wars :
52,Proof and Manuscripts! With such a low P.R.; we dare you to go anywhere else,AW (22.04.13); ,Packets labelled: '95 Maxwell Rest for the Wicked Proofs; 1995 George Gale Carol Rumens Best China Sky MSS and Proofs; Naughton Neither use nor Ornament 1995; Gwyneth Lweis Proofs 1995 Parables and Faxes; 1995 Reading Collected Poems Vol. 1 Proofs; 1995 Lawrence Sail Building into Air MSS and Proofs; Duhig/Proof/The Mersey Goldfish 1995; 1995 Kennelly Mini-Proof Poetry my Arse,1995,Maxwell Rest Wicked Proofs :George Gale Carol Rumens Best China Sky MSS Proofs :Naughton Neither Ornament :Gwyneth Lweis Proofs Parables Faxes :Reading Collected Poems Vol. Proofs :Lawrence Sail Building Air MSS Proofs :Mersey Goldfish :Poetry Arse :
53,Proofs and Man/s! '78 - '85,AW (20.02.13); AW (21.12.13); TB (21.12.13),Packets labelled: Bunting 1980; Wells Winter Festival 1980; Z ms and galleys 1982; On the Contrary [1984]; Scott proofs 1984; envelope addressed to Mrs M. Bonicelli; Ratushinskaya complete copy 1986; Scott proofs 1984; Hollub proof and forewords 1984; Scott manuscript 1984; Abel Baker Burned Books ms and proofs 1981; Sodergran old texts for file 1984; Ten North East Poets proofs/each others 1980; Tarot Poems 1980; Fox Running 1984; Vince[nt Morrison] Testimonial 1979; Adcock copy etc. 1979; Oldham 1980; letter from freelance artist to Neil Astley 1983; printers catalogue 1983; Bunting Brigflatts 1980,1979 - 1984,Bunting :Winter Festival :Z :Contrary [1984] :Scott :Mrs M. Bonicelli :Ratushinskaya :Scott :Hollub :Scott :Abel Baker Burned Books :Sodergran :North East :Tarot Poems :Fox Running :Testimonial :Adcock etc. :Oldham :Neil Astley :::
54,Proofs and Manuscripts! (Now with free envelopes) 1997 ,,Packets labelled: Keith Bosley Skating on the Sea MSS and Proofs 1997; 1997 Glyn Wright Shingdig MSS and Proofs; 1997 Katie Dunovan Entering the Mare Proofs and MSS; 1997 Selima Hill Violet Proofs and MSS and some Trembling Hearts; 1997 Roddy Lumsden Yeah Yeah Yeah Proofs and MSS; Valery/Elliot La Jeune Parque Proofs and MSS 1997; 1997 Linda France Storyville Proofs and MSS; 1997 C. K. Williams The Vigil Proof and MSS; 1997 1996-97 Work in Regress; 1997 Barry Macsweeney Book of Demons MSS and Proofs,1996-1997,Keith Bosley Skating Sea MSS Proofs :Glyn Wright Shingdig MSS Proofs :Katie Dunovan Entering Mare Proofs MSS :Selima Hill Violet Proofs MSS Trembling Hearts :Roddy Lumsden Yeah Yeah Yeah Proofs MSS :La Jeune Parque Proofs MSS :Linda France Storyville Proofs MSS :C. K. Williams The Vigil Proof MSS :Work Regress :Barry Macsweeney Book MSS Proofs :
55,Proofs and Manuscripts 1987,,Sid Chaplin In Blackberry Time 1987; Bossy Parrot Proofs '87; '87 Burning Forest Proofs etc. Czerniawski; '87 Holub Proofs; A Gilded Lapse of Time by Gertrude Schnackenberg Richard Scott Simon Limited 43 Doughty Street London WC1N 2LF; Arthur Gibson '87 Boundless Function ; '87 Jamie Proofs and Typescript; '87 Sean O'Brien Frighteners; 1987 Conn Typescript; Tsveteva Typescript Selected Poems 1987; A Book of Chinese Whispers 1987; Wormwood Typescript and Proofs; Neil Astley Bloodaxe Books; Holub Fly Proofs 1987; Bloodaxe Books Poetry with an Edge edited by Neil Astley; In Blackberry Time Sid Chaplin Galleys 1987; 1987 Arthur Gibson Boundless Function; 1987 Jamie proofs The Way We Live,1987,Sid Chaplin In Blackberry Time :Bossy Parrot Proofs '87 :Burning Forest Proofs etc. Czerniawski :Holub Proofs :Lapse Time Gertrude Schnackenberg Richard Scott Simon Limited Doughty Street London WC1N :Arthur Gibson '87 Boundless Function :Jamie Proofs Typescript :Sean O'Brien Frighteners :Conn Typescript :Tsveteva Typescript Selected Poems :Book :Wormwood Typescript Proofs :Neil Astley Bloodaxe Books :Holub Fly Proofs :Bloodaxe Books Poetry Edge Neil Astley :Blackberry Time Sid Chaplin Galleys :Arthur Gibson Boundless Function :Jamie Way We Live :
59,Proofs and Manuscripts! (May contain nuts but not v. likely),,Packets labelled: 2000 Douglas Oliver A Salvo for Africa MSS and Proofs; 2000 Jean 'Binta' Breeze Arrival of Brighteye MSS and Proofs; 2000 Kinsella Hierachy of Sheep Proofs and MSS; 2000 Roddy Lumsden Book of Love MSS and Proofs; 2000 Maxwell Boys At Twlight Proofs; 2000 Peter Reading Marfan MSS and Proofs; 2000 Ioana Ieronim Triumph of the Water Witch MSS and Proofs; WM Martin Lammas Alanna MS and Proofs 2000; 2000 Love and Variations (Final Version) Satyamurti Proofs and MS; 2000 John Agard Weblines MSS and Proofs ,2000,Douglas Oliver A Salvo Africa MSS Proofs :Jean 'Binta' Breeze Arrival Brighteye MSS Proofs :Kinsella Hierachy Sheep Proofs MSS :Roddy Lumsden Book Love MSS Proofs :Maxwell Boys At Twlight Proofs :Peter Reading Marfan MSS Proofs :Ioana Ieronim Triumph Water Witch MSS Proofs :WM Martin Lammas Alanna MS Proofs :Love Satyamurti Proofs MS :John Agard Weblines MSS Proofs :
60,Proofs and Typesettings,,Packets labelled: Archive British Coal Enterprise Quarry Press; Gunnar Ekelof; Tyne Tees Wordworks; The Poet Reclining by Marc Chagall; Step by Step - Dummy and Reject Setting and Proofs (T/Setting); Proof Copy Dear Next Prime Minister; Hewett Proofs and Typescript etc.; Wearne Proofs; David Scott Playing for England; Clemo Proofs; Clemo Proofs; John Hartley Williams Cornerless People; Linda; Ekel”f Divan Guide 46; Ekel”f Guide 47 Tale; Hartley Williams Typescript; Master Spare Sheets with no corrections; Dave Smith Cuba Night Typescript; Ma Chi-Yuan Paper Parts 1 (Introduction) and 2 (Poems translated); Archie's Proofs; Kennelly Proofs and reject setting; Twenty-seven love poems (in order); Desmond Graham; Leaf 2 Copy and C; Typesetting; Clemo Typescript; Fleur Adcock Meeting the Comet Proofs and Reject Setting,?,Coal Enterprise Quarry Press :Gunnar Ekelof :Tyne Tees Wordworks :Poet Reclining Marc Chagall :Step Step Dummy Reject Setting Proofs (T/Setting) :Copy Dear Next Prime Minister :Hewett Proofs Typescript etc. :Wearne Proofs :David Scott Playing England :Clemo Proofs :Clemo Proofs :John Hartley Williams Cornerless People :Linda :Divan Guide :Guide Tale :Hartley Williams Typescript :Master Spare :Dave Smith Cuba Night Typescript :Ma Paper Parts (Introduction) :Proofs :Proofs ::Desmond Graham :Leaf Copy C ::Clemo Typescript :Fleur Adcock Meeting Comet Proofs Reject Setting :
62,Proofs and Manuscripts 1991,,Packets labelled: Dunmore Short Days proofs 1991; Forde Bunting mss 2nd copy for Ken 1991; I Won_t Let You Go more Tagore proofs 1991; Mandelstam Moscow Notebooks 1991; GF Dutton Concrete Garden prototypes 1991; Scammel New Lake poets proofs 1991; Greening Tutankhamun Variations 1991; Tings and Times [Johnson] proofs 1991; Petri Night Song of the Personal Shadow proofs 1991; Jackie Kay The Adoption Papers prrofs 1991; Mandelstam 1st Notebooks Kuzminsky copy 1991; Adrian Mitchell's Greatest Hits from Mark Lucas 1991; Dooley Explaining Magnetism proofs 1991; Scammel New Lake Potes 1991; Scammel New Lake Poets proofs 1991.,1991,Dunmore Short Days :Forde Bunting Ken :Let You Go Tagore :Mandelstam Moscow Notebooks :GF Dutton Concrete Garden :Scammel New Lake :Tutankhamun Variations :Times [Johnson] :Petri Night Song Personal Shadow :Jackie Kay The Adoption Papers :Mandelstam Notebooks Kuzminsky :Greatest Hits Mark Lucas :Dooley Explaining Magnetism :Scammel New Lake Potes :Scammel New Lake :
63,Proofs and Manuscipts,,Packets labelled: [Tom Paulin Ireland & the English Crisis?]; Kennedy A Time for Voices typescript [1990]; [loose leaf; unidentified material-box requires attention],?,Paulin Ireland English Crisis?] :Kennedy Time :::
64,Proofs and Manuscipts 1997,,Packets labelled: Hotspur 1997; Transtromer/Fulton [second half] 1997; Stokes reject poems and old versions 1997; Rumens proofs and typescripts 1997; Kathleen Jamie Queen of Sheba 1997; John Agard From the Devil's Pulpit 1997; [rejection letters for invitations from Neil Astley to write for Dear Next Prime Minister] 1997; [Sean O Brien The Deregulated Muse] 1997; [Tagore undated]; [Dear Mrs Thatcher] 1997; Catalogue 1997; ,1997,Hotspur ::::Kathleen Jamie Queen Sheba :John Agard From Devil's Pulpit :Neil Astley Dear Next Prime Minister] :O Brien The Deregulated Muse] :::Catalogue ::
65,Proofs and Manuscripts 1993,,Packets labelled: The Trojan Woman [1993]; Selected Poems Josef Hanzlik proof copy 1993; Randall White Eyes more proofs 1993;  Josef Hanzlik Selected Poems [3 copies]; Charlotte Cory [1993]; MacInnes Elsewhere and Back 1993; Shvarts Paradise mss and proofs 1993; Katie Donovan Watermelon Man 1993; Jack Clemo Approach to Murano 1993; Josef Hanzlik Selected Poems 1993; Pamela Gillilan The Turnspit Dog 1993; Sylvia Kantaris Lad's Love 1993; Mairi MacInnes Elsewhere and Back ms 1993; Steve Ellis proofs and mss 1993,1993,Trojan Woman [1993] :Selected Poems Josef Hanzlik :Randall White Eyes :Josef Hanzlik Selected Poems [3 copies] :Charlotte Cory [1993] :Back ::Katie Donovan Watermelon Man :Jack Clemo Approach Murano :Josef Hanzlik Selected Poems :Pamela Gillilan The Turnspit Dog :Sylvia Kantaris Lad's Love :Mairi MacInnes Elsewhere Back :Steve Ellis :
66,Proofs and Manuscripts 1986,,Packets labelled: Ellis '86 typescript; 1986 Levertov Selected rejected page setting; Persephone Mock-Up Jenny Joseph 1986; '86 Edmond; Jenny Jones Persephone Main Proof (JJ's) and Spare Proof (before final re-run) 1986; 1986 Levertovs A/W; Levertov Selected Poems 1986; Longley Poetry in the Wars 1986; Jenny Joseph Persephone 1986; Jenny Joseph Persephone 1986; Jenny Joseph Persephone Page Proofs; 1986 Levertov Selected & Oblique Prayers Typescript; Lesser Vehicles 1986 John Drew Rejects ,1986,Ellis '86 :Levertov Selected :Persephone Mock-Up Jenny Joseph :Edmond :Jenny Jones Persephone Main Proof (JJ's) Spare Proof (before :Levertovs A/W :Levertov Selected Poems :Longley Poetry Wars :Jenny Joseph Persephone :Jenny Joseph Persephone :Jenny Joseph Persephone Page Proofs :Levertov Selected Oblique Prayers Typescript :Lesser Vehicles John Drew Rejects :
67,Yet more proofs and further manuscripts 1996,,Packets labelled: 1996 Karina Porteous The Lost Music; Gardening in the Tropics Olive Senior MSS 1996; Reading Collected 2 1996; Fellow This fellow with the fabulous smile Persson 1996; êluard: Proofs 1996 Unbroken Poetry 2; Rome the Sorceress Fr‚naud Proofs 1996; Elfyn: Menna Cell Angel Proofs 1996; (Colonnade of Teeth) Hungarian Anthology G”m”ri/Szirtes 1996; ,1996,Karina Porteous The Lost Music :Tropics Olive Senior MSS ::Fellow Persson :Proofs Unbroken Poetry :Rome Sorceress Fr‚naud Proofs :Menna Cell Angel Proofs :Anthology G”m”ri/Szirtes ::
68,Proofs and Manuscripts! Made with slugs; snail and puppy tails,,Packets labelled: 1991 Fred Voss Post- Goodstone MSS.; Tony Harrison (2); Astley Tony Harrison: Crit. Anth (1) 1991; 1991 Basil Buntings Poetry Forde Proofs and Pix; Adoption Papers Kay Proofs 1991; 1991 Garrett Rule of Three MSS,1991,Fred Voss Post- Goodstone MSS. :Tony Harrison (2) :Astley Tony Harrison: Crit. Anth (1) :Basil Buntings Poetry Forde Proofs Pix :Kay Proofs :Garrett Rule Three MSS :
69,Proofs and Manuscripts! Boing!!! 1998 ,,1998 Garrett Two-Part Invention MS and Proofs; 1998 David Constantine The Pelt of Wasps MSS and Proofs; Beverley Braune Camouflage 1998; Beverley Braune Camouflage 1998; 1998 Gwyneth Lewis Zero Gravity Proofs and MSS,1998,Garrett Two-Part Invention MS Proofs :David Constantine The Pelt Wasps MSS Proofs :Beverley Braune Camouflage :Beverley Braune Camouflage :Gwyneth Lewis Zero Gravity Proofs MSS :
70,Proofs and Manuscripts! 1993,,Packets labelled: 1993 Selima Hill A Little Book of Meat TS and Proofs; 1993 Kay: Other Lovers Proofs and MSS; 1993 Couzyn In the Skin House First Version; Kissing the Night 1993 McNeill Proofs and MSS; 1993 Michael Hulse The New Poetry; 1993 Michael Hulse The New Poetry; 60 Women 1993; Sixty Women Poets (A) Proofs etc. 1993; 1993 Couzyn In the Skin House Proofs and MSS; Elliot Italian Landscape Poems 1993,1993,Selima Hill A Little Book Meat TS Proofs :Proofs MSS :Couzyn In Skin House First Version :Night McNeill Proofs MSS :Michael Hulse The New Poetry :Michael Hulse The New Poetry ::Sixty Women (A) Proofs etc. :Couzyn In Skin House Proofs MSS :Elliot Italian Landscape Poems :
71,Archive Satnd Magazine Gerald Manger,,Packets labelled: Harrison Corrected Proofs File Copies; Loose sheets; 8 copies of Modern Riddles; Loose sheets; Poetry Book Society; Stand; Loose Sheets,,Harrison Corrected Proofs File :Loose :Modern Riddles :Loose :Poetry Book Society :Stand :Loose :
72,Proofs & Manuscipts! Caution not to be used as protective eyewear. '88 - '89.,AW (20.02.13); AW (21.12.13); TB (21.12.13),Packets labelled: Cassidy Walking on Frogs proofs 1989; Randall Sin Eater 1989; Conn Proofs 1988; The New Czech Poetry 1988 (bound); Czeniawski Burning Forest Proofs 1988; Janovic & Czechs proofs 1988; Bell Uncollected Poems mss 1988; Ratushinskaya pencil letter proof master copy 1988; Nigel Wells Just Bounce 1988; Wells Wilderness 1988; Armitage Zoom! proofs etc. 1989; McDonald Biting the Wax master proof 1989; Ian McDonald Biting the Wax 1989; Martin Bell Complete Poems proofs 1989; McDuff Ice Around Our Lips proofs and typescript 1989,1988 - 1989,Cassidy Walking Frogs :Randall Sin Eater :Conn Proofs :New Czech Poetry :Czeniawski Burning Forest Proofs :Janovic Czechs :Bell Uncollected Poems :Ratushinskaya :Nigel Wells Just Bounce :Wilderness ::McDonald Biting Wax :McDonald Biting Wax :Martin Bell Complete Poems :Ice Around Our Lips :
73,Proofs and Manuscripts! 1996,,Packets labelled: Stephen Dobyns Velocities 1996; Peter Reading Collected Poems (2) 1996; Supposed to Fly; 1996 Jenny Joseph Ghosts Proofs; Proofed Tracey Herd No Hiding Place 1996; Brendan Kennelley Dublines 1996,1996,Stephen Dobyns Velocities :Peter Reading Collected Poems (2) :Fly :Jenny Joseph Ghosts Proofs :Proofed Tracey Herd No Hiding Place :Brendan Kennelley Dublines :
74,Proofs and Manuscripts! Now a major motion picture from 20th Century Fox,,Packets labelled: 1999 Nick Drake The Man in the White Suit MSS and Proofs; 1999 C. K. Williams Repair MS; 1999 Pauline Stainer Parable Island MSS and Proofs; 1999 Yang Lian Where the Proofs Stand Still; 1999 E. P. Thompson Proofs and MSS; 1999 Peters Sheep Don't Go To School Proofs and MSS; 1999 Yang Lian Where the Sea Stands Still More Proofs; 1999 Guillevic/ Montague Carnac Proofs and MSS; 1999 Kennelly Begin MS and Proofs; 1999 C. K. Williams Repair Proofs; London in Poetry and Prose edited Anna Adams; Three loose books of poems,1999,Nick Drake The Man White Suit MSS Proofs :C. K. Williams Repair MS :Pauline Stainer Parable Island MSS Proofs :Yang Lian Where Proofs Stand Still :E. P. Thompson Proofs MSS :Sheep Go School Proofs MSS :Yang Lian Where Sea Still More Proofs :Montague Carnac Proofs MSS :Begin MS Proofs :C. K. Williams Repair Proofs :London Poetry Prose Anna Adams ::
75,Proofs and Manuscripts!!! '78 - '85,AW TB (19.04.13); AW (20.02.13); AW (21.12.13); TB (21.12.13),Wordsworth Anthology; Briggflatts Bunting; Noel Connor Talitha Cumi 1983; Dunstan Tarot Poems  1980; Douglas Dunn Rumoured City 1982; Neil Astley Ten N.E Poets 1980 (Graeme Hodgson mss for North East Anthology); Hull Anthology 1982; Ed N. Astley Ten North East Poets 1980; Kennelly proofs 1983; Didsbury Butchers of Hull 1982 (file); Tony Harrison Dramatic Verse (1) 1985; Tony Harrison Dramatic Verse (2) 1985,1980 - 1985,Wordsworth Anthology ::Noel Connor Talitha Cumi :Dunstan Tarot Poems :Douglas Dunn Rumoured City :Neil Astley Ten N.E Hodgson North East Anthology) :Hull Anthology :Ed N. Astley Ten North East ::Didsbury Butchers Hull (file) :Tony Harrison Dramatic Verse (1) :Tony Harrison Dramatic Verse (2) :
76,Proofs and Manuscripts! (Don't cha just love 'em),,Packets labelled: Tony Harrison Permanently Bard 1995; Freda Downe Collected Poems 1995; Freda Downie Collected Poems 1995; Maxwell/ Proof/ Rest for the Wicked 1995; Hyland/ Proof/ Kicking Sawdust 1995; Hannan/ Proof/ Liar; Jones 1995; Bill Naughton/ Proof/ Neither Use nor Ornament; 1995 Tess Gallacher My Black Horse; Gallacher/ Proof/ My Black Horse 1995; Bartlett/ Proof/ Two Women Dancing; 1995 Tess Gallacher My Black Horse,1995,Tony Harrison Permanently Bard :Freda Downe Collected Poems :Freda Downie Collected Poems :Rest Wicked :Kicking Sawdust :Liar ::Bill Naughton/ Proof/ Neither Use Ornament :Tess Gallacher My Black Horse :My Black Horse :Dancing :Tess Gallacher My Black Horse :
77,n/a,,Packets labelled: Deborah Randall Proofs and Reject Setting; Korelitz Proofs and Typescript; Playing for England Scott Typescript; Ma Zhi-Yuan Part 3 Notes to Poems; Holub Poems Before and After Proof Material; Belfast Confetti Proofs; Mistila Proofs; Metro Poems; Loose sheets; Hilda Morley; Ken Smith Poetry with an Edge; Martin Booth Looking for the Rainbow Sign; David Constantine Watching for Dolphins; Climates Ruth Fainlight; In Blackberry Time; Tyneside Free Press; Loose sheets; Bound sheets,,Deborah Randall Proofs Reject Setting :Korelitz Proofs Typescript :England Scott Typescript :Ma Part Poems :Holub Poems Before After Proof Material :Belfast Confetti Proofs :Mistila Proofs :Metro Poems :Loose :Hilda Morley :Ken Smith Poetry Edge :Martin Booth Looking Rainbow Sign :David Constantine Watching :Ruth Fainlight :Blackberry Time :Tyneside Free Press :Loose :Bound :
